Title,Description,Expiration Date,year
Advanced Sensor Technology for Algal Biotechnology (ASTAB),Advanced Sensor Technology for Algal Biotechnology (ASTAB),1930-01-01,1930
Modeling-Error-Driven Performance-Seeking Direct Adaptive Control,Modeling-Error-Driven Performance-Seeking Direct Adaptive Control,1930-01-01,1930
Decomposition Technique for Remaining Useful Life Prediction,Decomposition Technique for Remaining Useful Life Prediction,1930-01-01,1930
Nanotechnology-Based Supercapacitor,Nanotechnology-Based Supercapacitor,1930-01-01,1930
A Method To Measure The Recession Of Ablative Materials In Arc-jet Testing Using Digital Stereo-photogrammetry And Image Cross-correlation,A Method To Measure The Recession Of Ablative Materials In Arc-jet Testing Using Digital Stereo-photogrammetry And Image Cross-correlation,1931-01-01,1931
Offshore membrane enclosures for dewatering Algae (OMEDA),Offshore membrane enclosures for dewatering Algae (OMEDA),1931-01-01,1931
Battery Prognostics using Particle Filtering Techniques,Battery Prognostics using Particle Filtering Techniques,1931-01-01,1931
Hovercraft Landing System,Hovercraft Landing System,1931-01-01,1931
Self Aligning Lug for adapting carbon fiber rods to a bolted metallic connection,Self Aligning Lug for adapting carbon fiber rods to a bolted metallic connection,1931-01-01,1931
Content Analysis to Detect High Stress in Oral Interviews and Text Documents,Content Analysis to Detect High Stress in Oral Interviews and Text Documents,1931-01-01,1931
An Approach to Make Flexible Ablators that are Flexible Char Formers,An Approach to Make Flexible Ablators that are Flexible Char Formers,1932-01-01,1932
Strobing to Mitigate Vibration for Display Legibility,Strobing to Mitigate Vibration for Display Legibility,1932-01-01,1932
Transformable Hypersonic Aerodynamic Decelerator,Transformable Hypersonic Aerodynamic Decelerator,1932-01-01,1932
Variable Camber Continuous Aerodynamic Control Surfaces and Methods for Active Wing Shaping Control,Variable Camber Continuous Aerodynamic Control Surfaces and Methods for Active Wing Shaping Control,1932-01-01,1932
Method for formation and manufacture of carbon nanotube mesh bucky paper capsules for transplantation of cells and tissue and implantation of medical devices,Method for formation and manufacture of carbon nanotube mesh bucky paper capsules for transplantation of cells and tissue and implantation of medical devices,1932-01-01,1932
Heart Electrical Actions as Biometric Indicia,Heart Electrical Actions as Biometric Indicia,1932-01-01,1932
Ectomycorrhizal mediated remediaiton of phenolic-based contamination through use of specifically adapted ectomycorrhizal fungi and enzyme enhancement through partial defoliation of the host.,Ectomycorrhizal mediated remediaiton of phenolic-based contamination through use of specifically adapted ectomycorrhizal fungi and enzyme enhancement through partial defoliation of the host.,1932-01-01,1932
Motion Blur Evaluation Techniques,Motion Blur Evaluation Techniques,1932-01-01,1932
A new family of low density flexible ablators,A new family of low density flexible ablators,1932-01-01,1932
Adaptive control and disturbance rejection of non-minimum phase plants using residual mode filters,Adaptive control and disturbance rejection of non-minimum phase plants using residual mode filters,1932-01-01,1932
Nanosensors for medical diagnosis,Nanosensors for medical diagnosis,1932-01-01,1932
Dynamic Weather Routes Tool,Dynamic Weather Routes Tool,1932-01-01,1932
NanoSat Launch Adapter System (NLAS),NanoSat Launch Adapter System (NLAS),1933-01-01,1933
Low Cost Optical Fiber Solar Cell Configurations,Low Cost Optical Fiber Solar Cell Configurations,1933-01-01,1933
Method and Device for Biometric Subject Verification and Identification Based Upon electrocardiographic signals,Method and Device for Biometric Subject Verification and Identification Based Upon electrocardiographic signals,1933-01-01,1933
Aluminoborosilicate Supplement for Thermal Protection of a Re-entrant Vehicle,Aluminoborosilicate Supplement for Thermal Protection of a Re-entrant Vehicle,1933-01-01,1933
Inexpensive Cooling Systems for Devices,Inexpensive Cooling Systems for Devices,1933-01-01,1933
Nanowire based piezoelectric power generation,Nanowire based piezoelectric power generation,1933-01-01,1933
A Method for Improving Control Systems with Normalized Adaptation by Optimal Control Modification,A Method for Improving Control Systems with Normalized Adaptation by Optimal Control Modification,1933-01-01,1933
Solar Powered CO2 Conversions with Thin Film Devices,Solar Powered CO2 Conversions with Thin Film Devices,1933-01-01,1933
Combined HETC/ROCCI TPS Material for Temperatures Up To T=3200 F,Combined HETC/ROCCI TPS Material for Temperatures Up To T=3200 F,1933-01-01,1933
Flight Deck Predictive Weather Display and Decision Support Interface,Flight Deck Predictive Weather Display and Decision Support Interface,1933-01-01,1933
NTTS Search and Reporting (Part of NTTS Suite),NTTS Search and Reporting (Part of NTTS Suite),1933-01-01,1933
Graphene composite materials for supercapacitor electrodes,Graphene composite materials for supercapacitor electrodes,1933-01-01,1933
The Surface-Adhering Bioreactor (SABR): A novel microbial cell cultivation platform,The Surface-Adhering Bioreactor (SABR): A novel microbial cell cultivation platform,1933-01-01,1933
Surface Densification Of Phenolic Impregnated Carbon Ablator (PICA),Surface Densification Of Phenolic Impregnated Carbon Ablator (PICA),1933-01-01,1933
"Fuel-Efficient, Airport-Friendly, Multi-Speed Transport Aircraft Configuration with Novel Structural Approach","Fuel-Efficient, Airport-Friendly, Multi-Speed Transport Aircraft Configuration with Novel Structural Approach",1934-01-01,1934
Real Time PIREPs Using Audio Twitter,Real Time PIREPs Using Audio Twitter,1934-01-01,1934
Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,2015-01-01,2015
Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,Imide Oligomers And Co-Oligomers Containing Pendent Phenylethynyl Groups And Polymers Therefrom,2015-01-01,2015
Noninvasive Meth/Apparatus For Monitoring Intracranial Pressure & Pressure Vols Index In Humans,Noninvasive Meth/Apparatus For Monitoring Intracranial Pressure & Pressure Vols Index In Humans,2015-01-01,2015
Catalyst For Formaldehyde Oxidation,Catalyst For Formaldehyde Oxidation,2015-01-01,2015
Thin Layer Composite Unimorph Ferroelectric Driver And Sensor,Thin Layer Composite Unimorph Ferroelectric Driver And Sensor,2015-01-01,2015
"Thin Layer Composite Unimorph Ferroelectric Driver And Sensor, THUNDER","Thin Layer Composite Unimorph Ferroelectric Driver And Sensor, THUNDER",2015-01-01,2015
"Tough, Soluble, Aromatic, Thermoplastic Copolyimides","Tough, Soluble, Aromatic, Thermoplastic Copolyimides",2015-01-01,2015
Autogenic-Feedback Training Exercise Method & System,Autogenic-Feedback Training Exercise Method & System,2015-01-01,2015
Preservation Of Liquid Biological Samples,Preservation Of Liquid Biological Samples,2015-01-01,2015
Device And Method For Screening Crystallization Conditions In Solution Crystal Growth,Device And Method For Screening Crystallization Conditions In Solution Crystal Growth,2015-01-01,2015
Biologically Active Protein Fragments Containing Specific Binding Regions Of Serum Albumin Or Related Proteins,Biologically Active Protein Fragments Containing Specific Binding Regions Of Serum Albumin Or Related Proteins,2015-01-01,2015
"Multi-Lamellar, Immiscible-Phase Microencapsulation of Drugs","Multi-Lamellar, Immiscible-Phase Microencapsulation of Drugs",2015-01-01,2015
A PROCESS FOR DEVELOPING HIGH-FIDELITY THREE-DIMENSIONAL TUMOR MODELS OF HUMAN PROSTATE CARCINOMA,A PROCESS FOR DEVELOPING HIGH-FIDELITY THREE-DIMENSIONAL TUMOR MODELS OF HUMAN PROSTATE CARCINOMA,2015-01-01,2015
Magnetically Suspended Miniature Fluid Pump And Method Of Making Same,Magnetically Suspended Miniature Fluid Pump And Method Of Making Same,2016-01-01,2016
"USING A 3-D SPRAG IN RACHETING TOOLS BASED ON PAT. NO. 5,482-144","USING A 3-D SPRAG IN RACHETING TOOLS BASED ON PAT. NO. 5,482-144",2016-01-01,2016
Quantitative Method Of Measuring Cancer Cell Urokinase And Metastatic Potential,Quantitative Method Of Measuring Cancer Cell Urokinase And Metastatic Potential,2016-01-01,2016
Ultrasonic Periodontal Structures Mapping Device,Ultrasonic Periodontal Structures Mapping Device,2016-01-01,2016
Quasi Four-Level TM:LuAG Laser (Tm:LuAG Laser),Quasi Four-Level TM:LuAG Laser (Tm:LuAG Laser),2016-01-01,2016
HANDHELD HYDROGEN FIRE IMAGER,HANDHELD HYDROGEN FIRE IMAGER,2016-01-01,2016
Method Of Improving A Digital Image,Method Of Improving A Digital Image,2016-01-01,2016
A Method Of Applying External Power To Assist In The Operation Of Joints In Pressure Suits And Inflatable Structures2283,A Method Of Applying External Power To Assist In The Operation Of Joints In Pressure Suits And Inflatable Structures2283,2016-01-01,2016
Relative Phase Measurement Instrument For Multiple-Echo Systems,Relative Phase Measurement Instrument For Multiple-Echo Systems,2016-01-01,2016
Multimodality Instrument For Tissue Characterization,Multimodality Instrument For Tissue Characterization,2017-01-01,2017
Emergency Aircraft Lateral Controller Using Existing (non-modified) Digital Engine Computers During A System Failure For The Purpose Of Safe Landing,Emergency Aircraft Lateral Controller Using Existing (non-modified) Digital Engine Computers During A System Failure For The Purpose Of Safe Landing,2017-01-01,2017
Automated Propellant Blending Machine,Automated Propellant Blending Machine,2017-01-01,2017
Distributed Fiber-optic Strain Sensor,Distributed Fiber-optic Strain Sensor,2017-01-01,2017
Empirical Mode Decomposition Method And Hilbert Spectral Analysis Algorithms,Empirical Mode Decomposition Method And Hilbert Spectral Analysis Algorithms,2017-01-01,2017
"Empirical Mode Decomposition Apparatus, Method And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting","Empirical Mode Decomposition Apparatus, Method And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting",2017-01-01,2017
Variable And Fixed Frequency Pulsed Phase-Locked Loop,Variable And Fixed Frequency Pulsed Phase-Locked Loop,2017-01-01,2017
Nonlinear Ultrasonic Scanning To Detect Material Defects,Nonlinear Ultrasonic Scanning To Detect Material Defects,2017-01-01,2017
HORIZONTAL ROTATING-WALL VESSEL PROPAGATION IN IN VITRO HUMAN TISSUE MODELS,HORIZONTAL ROTATING-WALL VESSEL PROPAGATION IN IN VITRO HUMAN TISSUE MODELS,2017-01-01,2017
PS300 - Self Lubricating Readily Polished High Temperature Composite,PS300 - Self Lubricating Readily Polished High Temperature Composite,2017-01-01,2017
COMPUTER IMPLEMENTED EMPIRICAL MODE DECOMPOSITION METHOD APPARATUS AND ARTICLE OF MANUFACTURE UTILIZING CURVATURE EXTREMA,COMPUTER IMPLEMENTED EMPIRICAL MODE DECOMPOSITION METHOD APPARATUS AND ARTICLE OF MANUFACTURE UTILIZING CURVATURE EXTREMA,2017-01-01,2017
A Method And Apparatus For The Portable Identification Of Material Thickness Of Layers Using A Scanning Linear Heat Source And Infrared Detectorcramer,A Method And Apparatus For The Portable Identification Of Material Thickness Of Layers Using A Scanning Linear Heat Source And Infrared Detectorcramer,2017-01-01,2017
Solid State Carbon Monoxide Sensor,Solid State Carbon Monoxide Sensor,2017-01-01,2017
"Production Of 1-25diOH Vitamin D3, Erythropoietin And Other Products By Epithelial And Interstitial Cells In Response To Shear Stress","Production Of 1-25diOH Vitamin D3, Erythropoietin And Other Products By Epithelial And Interstitial Cells In Response To Shear Stress",2017-01-01,2017
Multimodality Instrument For Tissue Characterization,Multimodality Instrument For Tissue Characterization,2017-01-01,2017
Catalyst For Oxidation Of Hydro-Carbons And Volatile Organic Compounds,Catalyst For Oxidation Of Hydro-Carbons And Volatile Organic Compounds,2017-01-01,2017
Prepreg And Composites Made From Polyimide Salt-Like Solution,Prepreg And Composites Made From Polyimide Salt-Like Solution,2018-01-01,2018
Preservation Of Liquid Biological Samples,Preservation Of Liquid Biological Samples,2018-01-01,2018
A Unique Urine Preservative With Combined Antibacterial And Antioxidant Properties,A Unique Urine Preservative With Combined Antibacterial And Antioxidant Properties,2018-01-01,2018
Millimeter Wave/Microwave Ablation For Treatment Of Atherosclerotic Lesions,Millimeter Wave/Microwave Ablation For Treatment Of Atherosclerotic Lesions,2018-01-01,2018
A HAND HELD PLANT STRESS DETECTION SYSTEM,A HAND HELD PLANT STRESS DETECTION SYSTEM,2018-01-01,2018
